,Date,Goal Weight,Weight,Avg Weight,Calories,Avg Calories,Meditation,Asleep,Awake,Running Distance,Running Time,Running Intensity,Goal Calories
0,1/1/2024,190.0,195.0,195.0,2283,2283.0,,,,,,,
1,1/2/2024,190.0,,195.0,1720,2001.5,,,,,,,
2,1/3/2024,190.0,194.2,194.6,1870,1957.67,,,,,,,
3,1/4/2024,190.0,194.2,194.5,1490,1840.75,,,,,,,
4,1/5/2024,190.0,,194.5,3400,2152.6,,,,,,,
5,1/6/2024,190.0,,194.5,2150,2152.17,,,,,,,
6,1/7/2024,190.0,,194.5,2700,2230.43,,,,,,,
7,1/8/2024,190.0,,194.2,1950,2182.86,,,,,,,
8,1/9/2024,190.0,196.0,194.8,2600,2308.57,,,,,,,
9,1/10/2024,190.0,,195.1,2100,2341.43,,,,,,,
10,1/11/2024,190.0,,196.0,2510,2487.14,,,,,,,
11,1/12/2024,190.0,,196.0,2250,2322.86,,,,,,,
12,1/13/2024,190.0,,196.0,3300,2487.14,,,,,,,
13,1/14/2024,190.0,,196.0,2770,2497.14,,,,,,,
14,1/15/2024,190.0,194.2,195.1,1875,2486.43,,,,,,,
15,1/16/2024,190.0,,194.2,2390,2456.43,,,,,,,
16,1/17/2024,190.0,,194.2,2700,2542.14,,,,,,,
17,1/18/2024,190.0,,194.2,2700,2569.29,,,,,,,
18,1/19/2024,190.0,195.0,194.6,2700,2633.57,,,,,,,
19,1/20/2024,190.0,,194.6,2700,2547.86,,,,,,,
20,1/21/2024,190.0,,194.6,2700,2537.86,,,,,,,
21,1/22/2024,190.0,,195.0,2700,2655.71,,,,,,,
22,1/23/2024,190.0,198.0,196.5,2200,2628.57,,,,,,,
23,1/24/2024,190.0,,196.5,1750,2492.86,,,,,,,
24,1/25/2024,190.0,,196.5,2890,2520.0,,,,,,,
25,1/26/2024,190.0,194.2,196.1,1785,2389.29,,,,,,,
26,1/27/2024,190.0,194.2,195.5,1615,2234.29,,,,,,,
27,1/28/2024,190.0,193.4,195.0,2040,2140.0,,,,,,,
28,1/29/2024,190.0,,195.0,2500,2111.43,,,,,,,
29,1/30/2024,190.0,,193.9,2400,2140.0,,,,,,,
30,1/31/2024,190.0,197.0,194.7,2200,2204.29,,,,,,,
31,2/1/2024,190.0,,194.7,4800,2477.14,,,,,,,
32,2/2/2024,190.0,,194.9,900,2350.71,,,,,,,
33,2/3/2024,190.0,195.0,195.1,1200,2291.43,,,,,,,
34,2/4/2024,190.0,194.2,195.4,1200,2171.43,,,,,,,
35,2/5/2024,190.0,192.6,194.7,,2116.67,,,,,,,
36,2/6/2024,190.0,194.8,194.7,,2060.0,,,,,,,
37,2/7/2024,190.0,,194.2,,2025.0,,,,,,,
38,2/8/2024,190.0,,194.2,,1100.0,,,,,,,
39,2/9/2024,190.0,,194.2,,1200.0,,,,,,,
40,2/10/2024,190.0,,193.9,,1200.0,,,,,,,
41,2/11/2024,190.0,,193.7,,-,,,,,,,
42,2/12/2024,190.0,,194.8,,-,,,,,,,
43,2/13/2024,,,-,,-,,,,,,,
44,2/14/2024,,,-,,-,,,,,,,
45,2/15/2024,,,-,,-,,,,,,,
46,2/16/2024,,,-,,-,,,,,,,
47,2/17/2024,,,-,,-,,,,,,,
